"created_at","text"
2020-03-26,"selfemployed to be paid of profits up to a a month to help them cope with coronavirus crisis uk says"
2020-03-26,"a record million americans filed for unemployment last week showing economic carnage caused by coronavirus"
2020-03-25,"russia's president putin postpones vote on constitution change allowing him to stay in power due to coronavirus"
2020-03-25,"russia's president putin postpones vote on constitutional reform allowing him to stay in power due to coronavirus"
2020-03-25,"spain's coronavirus death toll exceeds china's becoming second highest in the world"
2020-03-25,"prince of wales tests positive for coronavirus and has mild symptoms but otherwise remains in good health"
2020-03-24,"india's billion people will go into full lockdown in just four hours time in bid to slow coronavirus pm modi"
2020-03-24,"olympics host japan ask for this year's games to be postponed over the coronavirus crisis"
2020-03-22,"australia to close pubs clubs cinemas casinos nightclubs and places of worship to curb spread of coronavirus"
2020-03-21,"italy reports another deaths in past day in world's worst coronavirus crisis"
2020-03-20,"aoewe are collectively telling cafes pubs bars and restaurants to close tonight and not to open tomorrowa boris johnson says physically we need to keep people apart to combat coronavirus takeout services will still be permitted latest"
2020-03-20,"cafes pubs and restaurants must close from tonight except for takeaway food to tackle coronavirus uk pm says"
2020-03-20,"spain becomes fourth country to register more than coronavirus deaths after china italy and iran"
2020-03-19,"coronavirus death toll in italy overtakes china's after rising by to"
2020-03-19,"bank of england cuts interest rates from to in further emergency move sparked by the coronavirus pandemic"
2020-03-19,"eu chief brexit negotiator michel barnier says he has tested positive for coronavirus"
2020-03-18,"coronavirus death toll in uk reaches as more people die in england after testing positive"
2020-03-18,"schools in scotland and wales to close from friday in response to coronavirus crisis"
2020-03-17,"uk chancellor rishi sunak promises unprecedented package of a bn to support companies during coronavirus pandemic with more if needed"
2020-03-17,"all horse racing in britain will be suspended from wednesday until the end of april because of the coronavirus outbreak more here"
2020-03-16,"the grand national has been cancelled because of the coronavirus pandemic more to follow grandnational"
2020-03-16,"aoewhat wea cent re announcing today is a very substantial change in the way we want people to live their livesa uk pm boris johnson says aoei dona cent t think therea cent s really been anything like it in peace timea coronavirusoutbreak"
2020-03-16,"aoewe need people to start working from home and you should avoid pubs clubsa and other such social venues boris johnson says even those with no symptoms must stop aoenonessential contact with others and stop all unnecessary travela coronavirusoutbreak"
2020-03-16,"uk pm says everyone should now avoid social contact with others and stop nonessential travel to fight coronavirus"
2020-03-16,"first patient with coronavirus dies in wales there have now been covid related deaths recorded in every nation in great britain"
2020-03-16,"bbc to delay tv licence fee changes for the over s until august in light of the coronavirus situation"
2020-03-15,"number of uk deaths of people with coronavirus is up to a rise of department of health says"
2020-03-15,"action to isolate over s to shield them from coronavirus is planned in coming weeks uk health secretary confirms"
2020-03-14,"us to extend coronavirus travel ban to uk and ireland from monday"
2020-03-14,"ten more people in uk have died in coronavirus pandemic bringing total to nhs figures show"
2020-03-14,"coronavirus cases in spain rise by to more than public health officials say"
2020-03-13,"us president donald trump declares national emergency to help handle the growing outbreak of coronavirus"
2020-03-13,"april's london marathon postponed because of coronavirus outbreak covid uk"
2020-03-13,"world health organization says that europe is now the epicentre of the covid pandemic"
2020-03-13,"mayoral and local elections in england postponed for one year due to coronavirus outbreak"
2020-03-13,"all uefa competitions including champions league and europa league matches have been postponed because of the coronavirus outbreak"
2020-03-13,"wife of canadian pm justin trudeau sophie tests positive for coronavirus both will be in isolation for days"
2020-03-12,"uk and us stock markets suffer worst day since despite central bank interventions to ease coronavirus uncertainty"
2020-03-12,"coronavirus deaths rise over in italy with cases in europe's worst hit country passing"
2020-03-12,"canadian prime minister justin trudeau selfisolating over coronavirus fears his office confirms"
2020-03-12,"this weekend's seasonopening australian grand prix has been postponed over coronavirus concerns two senior f sources have told bbc sport more"
2020-03-12,"indoor mass gatherings in ireland of more than people amp outdoor gatherings of more than people should be cancelled and people should work remotely where possible irish pm says coronaviruspandemic"
2020-03-12,"all schools colleges and childcare facilities in ireland to close from friday until march speaking in washington irish taoiseach leo varadkar announces new measure to tackle coronaviruspandemic"
2020-03-12,"president trump suspends all travel to us from european countries a except the uk for days due to coronavirus"
2020-03-11,"coronavirus outbreak labelled as pandemic by world health organization"
2020-03-11,"chancellor pledges a bn package to help uk economy respond to coronavirus as he warns outbreak will bring significant shortterm impact"
2020-03-11,"uk interest rates cut in emergency move to shore up economy amid coronavirus outbreak"
2020-03-10,"health minister nadine dorries says she has tested positive for coronavirus and is selfisolating"
2020-03-09,"italy's pm giuseppe conte extends coronavirus measures including ban on public gatherings to entire country"
2020-03-09,"israel to bring in day quarantine for everyone arriving in the country to combat coronavirus"
2020-03-08,"a third person in the uk a man in his s with underlying health problems has died after testing positive for coronavirus nhs england says"
2020-03-08,"italy coronavirus death toll soars by in a day to as millions adapt to widespread travel restrictions"
2020-03-06,"man in his early s with underlying health issues is second person with coronavirus to die in the uk hospital says"
2020-03-06,"coronavirus cases in the uk have now risen to from a total of people tested so far"
2020-03-05,"patient with underlying health conditions becomes first person with coronavirus to die in the uk hospital says"
2020-03-05,"coronavirus cases in the uk have risen to with of them in london new figures show"
2020-03-04,"coronavirus cases in the uk jump by in a day taking total number to"
2020-03-04,"italy to close all schools and universities across the country for two weeks to control coronavirus outbreak italian news agency reports"
2020-03-03,"up to a fifth of the uk workforce may be off sick during the peak of a coronavirus epidemic government says coronavirusuk"
2020-03-01,"twelve more patients in england test positive for coronavirus taking total number of uk cases to"
2020-02-29,"us reports its first death from coronavirus in the northwest state of washington"
2020-02-28,"at least coronavirus patients have died in iran far more than officially admitted iranian health sources tell bbc latest"
2020-02-28,"uk's ftse share index hit by biggest oneweek fall since financial crisis amid coronavirus fears"
2020-02-28,"british man who had been on board cruise ship has died from coronavirus japan health ministry says"
2020-02-28,"first coronavirus case confirmed in wales in a patient who had returned from italy taking total uk cases to"
2020-02-27,"northern ireland authorities confirm first case of coronavirus taking total number of uk cases to"
2020-02-27,"two more patients test positive for coronavirus in england bringing total number of uk cases to"
2020-02-26,"ireland v italy six nations game in dublin postponed due to coronavirus concerns"
2020-02-23,"four of the cruise ship passengers brought to uk test positive for coronavirus bringing number of uk cases to"
2020-02-15,"first coronavirus fatality in europe as france confirms death of chinese tourist"
2020-02-12,"a new uk coronavirus case believed to be a woman who flew into london from china is confirmed to the bbc"
2020-02-11,"man linked to several coronavirus cases in uk france and mallorca says he has recovered from the illness"
2020-02-10,"gp practice in brighton closes after staff member tests positive for coronavirus"
2020-02-10,"four more patients in england test positive for coronavirus bringing total number of cases in uk to eight"
2020-02-10,"uk government declares coronavirus a serious and imminent threat to public health"
2020-02-06,"third person in uk confirmed as having coronavirus and they have been taken to a specialist nhs centre"
2020-02-02,"the philippines says a man has died of the coronavirus the first confirmed fatality outside china"
2020-01-31,"first two cases of coronavirus confirmed in the uk department of health says"
2020-01-30,"coronavirus is declared global emergency by world health organization as outbreak continues to spread outside china"
2020-01-29,"britons flown back from wuhan in china to be put in quarantine for fortnight amid concern over coronavirus outbreak"
2020-01-29,"ba suspends flights to and from mainland china after uk foreign office travel advice over coronavirus outbreak"
2020-01-28,"uk foreign office warns against all but essential travel to mainland china amid coronavirus outbreak"
2020-01-28,"hong kong to suspend rail ferry services and halve flights to mainland china in bid to stop spread of coronavirus"
2020-01-24,"the coronavirus which first emerged in china has now spread to europe with two cases confirmed in france"
2020-01-23,"second chinese city huanggang suspends public transport shuts cafes and cinemas to stop spread of coronavirus"
